,Open,High,Low,Close,Volume
2023-11-22 05:00:00,4547.75,4580.5,4543.0,4567.25,1403636
2023-11-23 05:00:00,4564.0,4572.75,4562.0,4569.5,1403636
2023-11-24 14:30:00,4564.0,4574.0,4562.0,4568.25,572702
2023-11-27 05:00:00,4568.5,4570.0,4552.0,4561.0,1124213
2023-11-28 05:00:00,4561.5,4577.25,4547.0,4563.0,1441119
2023-11-29 05:00:00,4564.0,4597.0,4555.5,4559.25,1592398
2023-11-30 05:00:00,4562.25,4579.5,4544.75,4576.75,2056268
2023-12-01 05:00:00,4571.75,4607.75,4562.5,4600.75,1914151
2023-12-04 05:00:00,4603.25,4604.5,4553.5,4576.5,1818991
2023-12-05 05:00:00,4573.0,4585.5,4555.5,4575.0,1890825
2023-12-06 05:00:00,4573.25,4598.5,4552.0,4556.0,1837961
2023-12-07 05:00:00,4556.0,4596.0,4548.75,4589.5,1832361
2023-12-08 05:00:00,4586.5,4613.75,4561.75,4607.5,2289425
2023-12-11 05:00:00,4607.75,4627.25,4599.5,4626.0,1663229
2023-12-12 05:00:00,4625.0,4649.75,4610.5,4645.75,1052077
2023-12-13 05:00:00,4649.0,4711.75,4645.0,4708.25,739684
2023-12-14 05:00:00,4708.0,4739.25,4694.25,4721.75,560819
2023-12-15 05:00:00,4716.0,4736.5,4694.27001953125,4694.27001953125,1801823
2023-12-18 05:00:00,4770.5,4802.25,4769.5,4793.0,1139029
2023-12-19 05:00:00,4790.5,4821.5,4787.75,4820.25,1122973
2023-12-20 05:00:00,4818.5,4830.75,4743.25,4749.75,1749145
2023-12-21 05:00:00,4751.0,4798.25,4751.0,4796.75,1687065
2023-12-22 05:00:00,4795.75,4821.75,4784.75,4805.25,1326697
2023-12-26 05:00:00,4800.25,4834.5,4800.25,4825.0,688201
2023-12-27 05:00:00,4827.75,4836.5,4816.5,4833.5,1042284
2023-12-28 05:00:00,4834.5,4841.5,4828.0,4832.25,927035
2023-12-29 05:00:00,4834.75,4841.0,4796.75,4820.0,1281733
2024-01-02 05:00:00,4818.0,4828.0,4765.5,4787.25,1678142
2024-01-03 05:00:00,4790.75,4790.75,4741.0,4746.5,1707174
2024-01-04 05:00:00,4750.0,4766.5,4727.0,4729.5,1395366
2024-01-05 05:00:00,4732.75,4760.25,4702.0,4734.75,1767245
2024-01-08 05:00:00,4735.75,4803.25,4715.25,4801.25,1417728
2024-01-09 05:00:00,4797.75,4804.0,4767.5,4792.75,1369103
2024-01-10 05:00:00,4790.75,4828.5,4786.0,4820.25,1377780
2024-01-11 05:00:00,4820.5,4838.0,4772.75,4815.5,1795564
2024-01-12 05:00:00,4811.25,4836.5,4791.5,4816.5,1519899
2024-01-16 05:00:00,4812.0,4823.0,4779.5,4798.5,1905532
2024-01-17 05:00:00,4799.75,4800.75,4746.25,4771.25,1663328
2024-01-18 05:00:00,4768.0,4817.0,4763.5,4811.25,1746936
2024-01-19 05:00:00,4811.25,4874.25,4808.5,4869.5,1876757
2024-01-22 05:00:00,4872.5,4898.25,4872.5,4881.0,1356050
2024-01-23 05:00:00,4881.75,4902.0,4874.25,4895.0,1130749
2024-01-24 05:00:00,4900.25,4933.25,4889.0,4898.0,1586824
2024-01-25 05:00:00,4899.5,4926.5,4893.25,4923.25,1532026
2024-01-26 05:00:00,4919.25,4934.25,4898.5,4916.25,1363612
2024-01-29 05:00:00,4908.75,4956.0,4901.75,4954.5,1197989
2024-01-30 05:00:00,4950.25,4957.25,4933.0,4951.0,1157425
2024-01-31 05:00:00,4930.25,4938.0,4866.0,4870.5,2285993
2024-02-01 05:00:00,4874.5,4963.75,4872.5,4928.5,1835510
2024-02-02 05:00:00,4952.75,4997.75,4925.75,4980.25,1957796
2024-02-05 05:00:00,4976.0,4980.75,4937.75,4962.0,1504676
2024-02-06 05:00:00,4959.5,4978.25,4954.5,4974.75,1267419
2024-02-07 05:00:00,4971.5,5020.0,4970.0,5015.25,1336172
2024-02-08 05:00:00,5015.75,5020.0,5003.75,5017.75,997431
2024-02-09 05:00:00,5014.5,5048.5,5013.0,5044.0,1212336
2024-02-12 05:00:00,5042.5,5066.5,5031.5,5041.25,1141487
2024-02-13 05:00:00,5034.0,5040.0,4936.5,4971.25,2112726
2024-02-14 05:00:00,4974.25,5022.5,4968.75,5018.0,1632071
2024-02-15 05:00:00,5017.5,5051.75,5011.0,5046.5,1361757
2024-02-16 05:00:00,5049.5,5059.25,5012.75,5019.75,1527729
2024-02-20 05:00:00,5016.5,5029.5,4968.25,4991.5,1609827
2024-02-21 05:00:00,4990.0,5020.5,4959.0,4996.25,1485687
2024-02-22 05:00:00,5016.0,5107.75,5015.25,5097.75,1738869
2024-02-23 05:00:00,5094.25,5123.5,5092.0,5101.5,1340050
2024-02-26 05:00:00,5095.0,5108.0,5076.25,5080.25,1094682
2024-02-27 05:00:00,5077.5,5093.0,5067.0,5090.0,1026819
2024-02-28 05:00:00,5090.75,5091.25,5063.25,5081.0,1201011
2024-02-29 05:00:00,5072.0,5114.5,5060.0,5103.75,1790702
2024-03-01 05:00:00,5101.5,5149.25,5089.25,5146.0,1597331
2024-03-04 05:00:00,5142.0,5157.75,5132.0,5138.25,1208040
2024-03-05 05:00:00,5133.75,5135.5,5063.0,5085.75,1885769
2024-03-06 05:00:00,5091.0,5134.5,5083.75,5111.75,1996223
2024-03-07 05:00:00,5114.25,5170.5,5086.5,5161.75,1791666
2024-03-08 05:00:00,5159.25,5193.0,5121.75,5129.0,2786680
2024-03-11 04:00:00,5132.5,5133.25,5094.75,5123.0,1840000
2024-03-12 04:00:00,5129.0,5183.0,5112.75,5177.25,1211911
2024-03-13 04:00:00,5176.0,5183.75,5153.0,5168.0,540170
2024-03-14 04:00:00,5171.5,5189.5,5124.25,5153.75,476074
2024-03-15 04:00:00,5152.25,5167.0,5101.669921875,5101.669921875,1927775
2024-03-18 04:00:00,5185.75,5240.25,5181.75,5214.75,1377276
2024-03-19 04:00:00,5215.25,5244.75,5186.0,5241.75,1440289
2024-03-20 04:00:00,5239.75,5297.75,5233.0,5286.75,1404974
2024-03-21 04:00:00,5294.75,5322.75,5293.5,5302.5,1326994
2024-03-22 04:00:00,5306.75,5311.75,5287.75,5293.25,1162606
2024-03-25 04:00:00,5290.5,5295.0,5272.5,5278.25,920608
2024-03-26 04:00:00,5280.75,5300.5,5263.0,5265.25,1092706
2024-03-27 04:00:00,5273.25,5313.75,5270.75,5308.25,1487671
2024-03-28 04:00:00,5308.0,5321.0,5301.0,5308.5,1317836
2024-04-01 04:00:00,5314.25,5333.5,5282.25,5295.25,1125234
2024-04-02 04:00:00,5294.5,5296.0,5235.0,5260.5,1426691
2024-04-03 04:00:00,5262.5,5280.75,5244.5,5266.5,1402981
2024-04-04 04:00:00,5270.75,5308.5,5192.5,5197.25,1941274
2024-04-05 04:00:00,5199.75,5272.5,5191.5,5253.0,1908306
2024-04-08 04:00:00,5263.25,5269.25,5236.5,5253.25,1167648
2024-04-09 04:00:00,5258.0,5274.25,5208.25,5260.25,1651973
2024-04-10 04:00:00,5264.25,5285.0,5176.5,5207.75,2369864
2024-04-11 04:00:00,5202.0,5257.5,5173.5,5243.25,1762470
2024-04-12 04:00:00,5244.0,5248.75,5150.0,5167.5,2005106
2024-04-15 04:00:00,5166.5,5213.25,5094.0,5104.0,2226105
2024-04-16 04:00:00,5101.25,5123.25,5078.75,5092.5,2098015
2024-04-17 04:00:00,5096.25,5120.5,5047.0,5062.25,1928645
2024-04-18 04:00:00,5063.0,5095.25,5038.5,5049.0,1701401
2024-04-19 04:00:00,5047.25,5058.0,4963.5,5003.75,2357143
2024-04-22 04:00:00,5014.25,5076.75,5006.0,5047.5,1584393
2024-04-23 04:00:00,5051.0,5113.5,5037.75,5106.5,1357493
2024-04-24 04:00:00,5115.25,5128.75,5072.25,5107.5,1512469
2024-04-25 04:00:00,5070.0,5132.75,5022.25,5082.25,1887635
2024-04-26 04:00:00,5132.0,5146.5,5104.5,5131.5,1455855
2024-04-29 04:00:00,5140.25,5154.25,5118.75,5147.0,1163440
